dates,county,cases,deaths
2020-03-28,Allegan,1,0
2020-03-28,Barry,0,0
2020-03-28,Bay,0,0
2020-03-28,Berrien,4,0
2020-03-28,Calhoun,2,0
2020-03-28,Cass,1,0
2020-03-28,Charlevoix,0,0
2020-03-28,Clare,0,0
2020-03-28,Clinton,5,0
2020-03-28,Crawford,0,0
2020-03-28,Detroit,302,7
2020-03-28,Eaton,0,0
2020-03-28,Emmet,1,0
2020-03-28,Genesee,19,1
2020-03-28,Gladwin,0,0
2020-03-28,Gogebic,0,0
2020-03-28,Grand Traverse,2,0
2020-03-28,Gratiot,1,0
2020-03-28,Hillsdale,1,0
2020-03-28,Huron,0,0
2020-03-28,Ingham,6,-1
2020-03-28,Ionia,0,0
2020-03-28,Iosco,0,0
2020-03-28,Isabella,0,0
2020-03-28,Jackson,4,0
2020-03-28,Kalamazoo,4,0
2020-03-28,Kalkaska,0,0
2020-03-28,Kent,8,0
2020-03-28,Lapeer,0,0
2020-03-28,Leelanau,0,0
2020-03-28,Lenawee,3,0
2020-03-28,Livingston,10,1
2020-03-28,Macomb,130,3
2020-03-28,Manistee,0,0
2020-03-28,Marquette,0,0
2020-03-28,Mecosta,0,0
2020-03-28,Midland,0,0
2020-03-28,Missaukee,0,1
2020-03-28,Monroe,6,0
2020-03-28,Montcalm,0,0
2020-03-28,Muskegon,1,0
2020-03-28,Newaygo,0,0
2020-03-28,Oakland,194,5
2020-03-28,Oceana,0,0
2020-03-28,Ogemaw,0,0
2020-03-28,Osceola,1,0
2020-03-28,Otsego,7,0
2020-03-28,Ottawa,2,0
2020-03-28,Roscommon,0,0
2020-03-28,Saginaw,5,0
2020-03-28,Sanilac,0,0
2020-03-28,Shiawassee,0,0
2020-03-28,St. Clair,1,0
2020-03-28,Tuscola,2,0
2020-03-28,Van Buren,1,0
2020-03-28,Washtenaw,35,0
2020-03-28,Wayne,204,2
2020-03-28,Wexford,0,0
2020-03-28,Unknown,24,0
2020-03-28,Non-MI,7,0
2020-03-28,Total,4650,111
