dates,county,cases,deaths
2020-03-30,Allegan,1,0
2020-03-30,Antrim,2,0
2020-03-30,Barry,0,0
2020-03-30,Bay,4,0
2020-03-30,Berrien,3,0
2020-03-30,Calhoun,2,0
2020-03-30,Cass,0,0
2020-03-30,Charlevoix,0,0
2020-03-30,Cheboygan,0,0
2020-03-30,Clare,0,0
2020-03-30,Clinton,5,0
2020-03-30,Crawford,0,0
2020-03-30,Delta,1,0
2020-03-30,Detroit,259,17
2020-03-30,Eaton,7,0
2020-03-30,Emmet,0,0
2020-03-30,Genesee,23,2
2020-03-30,Gladwin,-1,0
2020-03-30,Gogebic,0,0
2020-03-30,Grand Traverse,1,0
2020-03-30,Gratiot,0,0
2020-03-30,Hillsdale,2,0
2020-03-30,Houghton,1,0
2020-03-30,Huron,0,0
2020-03-30,Ingham,30,0
2020-03-30,Ionia,2,0
2020-03-30,Iosco,0,0
2020-03-30,Isabella,1,0
2020-03-30,Jackson,13,0
2020-03-30,Kalamazoo,5,1
2020-03-30,Kalkaska,1,0
2020-03-30,Kent,24,0
2020-03-30,Lapeer,2,0
2020-03-30,Leelanau,0,0
2020-03-30,Lenawee,0,0
2020-03-30,Livingston,5,0
2020-03-30,Macomb,108,7
2020-03-30,Manistee,0,0
2020-03-30,Marquette,1,0
2020-03-30,Mecosta,1,0
2020-03-30,Midland,1,0
2020-03-30,Missaukee,0,0
2020-03-30,Monroe,7,0
2020-03-30,Montcalm,1,0
2020-03-30,Muskegon,5,0
2020-03-30,Newaygo,0,0
2020-03-30,Oakland,195,14
2020-03-30,Oceana,0,0
2020-03-30,Ogemaw,3,0
2020-03-30,Osceola,0,0
2020-03-30,Otsego,0,0
2020-03-30,Ottawa,3,0
2020-03-30,Roscommon,0,0
2020-03-30,Saginaw,12,0
2020-03-30,Sanilac,3,0
2020-03-30,Shiawassee,3,0
2020-03-30,St. Clair,5,0
2020-03-30,St. Joseph,3,0
2020-03-30,Tuscola,1,0
2020-03-30,Van Buren,0,0
2020-03-30,Washtenaw,35,1
2020-03-30,Wayne,232,10
2020-03-30,Wexford,1,0
2020-03-30,Unknown,1,0
2020-03-30,Non-MI,-1,0
2020-03-30,Total,6498,184
