2020-03-30,County,Cases,Deaths
2020-03-30,Allegan,2,0
2020-03-30,Antrim,2,0
2020-03-30,Barry,1,0
2020-03-30,Bay,9,0
2020-03-30,Berrien,32,0
2020-03-30,Calhoun,17,0
2020-03-30,Cass,4,0
2020-03-30,Charlevoix,4,0
2020-03-30,Cheboygan,1,0
2020-03-30,Clare,1,0
2020-03-30,Clinton,19,0
2020-03-30,Crawford,1,0
2020-03-30,Delta,1,0
2020-03-30,Detroit City,1801,52
2020-03-30,Eaton,15,0
2020-03-30,Emmet,4,0
2020-03-30,Genesee,150,7
2020-03-30,Gladwin,2,0
2020-03-30,Gogebic,1,1
2020-03-30,Grand Traverse,7,0
2020-03-30,Gratiot,3,0
2020-03-30,Hillsdale,12,1
2020-03-30,Houghton,1,0
2020-03-30,Huron,3,0
2020-03-30,Ingham,73,0
2020-03-30,Ionia,4,0
2020-03-30,Iosco,1,0
2020-03-30,Isabella,5,1
2020-03-30,Jackson,37,1
2020-03-30,Kalamazoo,24,1
2020-03-30,Kalkaska,5,0
2020-03-30,Kent,96,1
2020-03-30,Lapeer,6,0
2020-03-30,Leelanau,1,0
2020-03-30,Lenawee,15,0
2020-03-30,Livingston,64,2
2020-03-30,Macomb,728,27
2020-03-30,Manistee,1,0
2020-03-30,Marquette,3,0
2020-03-30,Mecosta,2,1
2020-03-30,Midland,9,0
2020-03-30,Missaukee,1,1
2020-03-30,Monroe,45,0
2020-03-30,Montcalm,4,0
2020-03-30,Muskegon,18,2
2020-03-30,Newaygo,1,0
2020-03-30,Oakland,1365,48
2020-03-30,Oceana,2,0
2020-03-30,Ogemaw,4,0
2020-03-30,Osceola,2,0
2020-03-30,Otsego,17,0
2020-03-30,Ottawa,28,0
2020-03-30,Roscommon,1,0
2020-03-30,Saginaw,36,0
2020-03-30,Sanilac,5,0
2020-03-30,Shiawassee,8,0
2020-03-30,St. Clair,25,0
2020-03-30,St. Joseph,3,0
2020-03-30,Tuscola,5,1
2020-03-30,Van Buren,4,0
2020-03-30,Washtenaw,266,6
2020-03-30,Wayne,1394,31
2020-03-30,Wexford,2,0
2020-03-30,Other*,78,0
2020-03-30,Out of State,17,0
2020-03-30,Total,6498,184
