2020-03-28,County,Cases,Deaths
2020-03-28,Allegan,2,0
2020-03-28,Barry,1,0
2020-03-28,Bay,4,0
2020-03-28,Berrien,22,0
2020-03-28,Calhoun,11,0
2020-03-28,Cass,2,0
2020-03-28,Charlevoix,4,0
2020-03-28,Clare,1,0
2020-03-28,Clinton,13,0
2020-03-28,Crawford,1,0
2020-03-28,Detroit City,1377,30
2020-03-28,Eaton,8,0
2020-03-28,Emmet,4,0
2020-03-28,Genesee,110,5
2020-03-28,Gladwin,2,0
2020-03-28,Gogebic,1,1
2020-03-28,Grand Traverse,5,0
2020-03-28,Gratiot,2,0
2020-03-28,Hillsdale,7,0
2020-03-28,Huron,1,0
2020-03-28,Ingham,32,0
2020-03-28,Ionia,2,0
2020-03-28,Iosco,1,0
2020-03-28,Isabella,4,0
2020-03-28,Jackson,20,0
2020-03-28,Kalamazoo,15,0
2020-03-28,Kalkaska,4,0
2020-03-28,Kent,53,1
2020-03-28,Lapeer,4,0
2020-03-28,Leelanau,1,0
2020-03-28,Lenawee,11,0
2020-03-28,Livingston,41,2
2020-03-28,Macomb,534,17
2020-03-28,Manistee,1,0
2020-03-28,Marquette,1,0
2020-03-28,Mecosta,1,1
2020-03-28,Midland,8,0
2020-03-28,Missaukee,1,1
2020-03-28,Monroe,34,0
2020-03-28,Montcalm,3,0
2020-03-28,Muskegon,7,2
2020-03-28,Newaygo,1,0
2020-03-28,Oakland,1018,31
2020-03-28,Oceana,1,0
2020-03-28,Ogemaw,1,0
2020-03-28,Osceola,1,0
2020-03-28,Otsego,14,0
2020-03-28,Ottawa,23,0
2020-03-28,Roscommon,1,0
2020-03-28,Saginaw,19,0
2020-03-28,Sanilac,2,0
2020-03-28,Shiawassee,2,0
2020-03-28,St. Clair,16,0
2020-03-28,Tuscola,4,1
2020-03-28,Van Buren,4,0
2020-03-28,Washtenaw,185,3
2020-03-28,Wayne,939,16
2020-03-28,Wexford,1,0
2020-03-28,Other*,47,0
2020-03-28,Out of State,15,0
2020-03-28,Total,4650,111
