dates,county,cases,deaths
2020-05-07,Alcona,0,0
2020-05-07,Allegan,2,0
2020-05-07,Alpena,0,1
2020-05-07,Antrim,0,0
2020-05-07,Arenac,0,0
2020-05-07,Baraga,0,0
2020-05-07,Barry,2,0
2020-05-07,Bay,3,0
2020-05-07,Benzie,0,0
2020-05-07,Berrien,10,1
2020-05-07,Branch,1,0
2020-05-07,Calhoun,2,0
2020-05-07,Cass,1,0
2020-05-07,Charlevoix,-1,0
2020-05-07,Cheboygan,0,0
2020-05-07,Chippewa,0,0
2020-05-07,Clare,0,0
2020-05-07,Clinton,3,0
2020-05-07,Crawford,0,0
2020-05-07,Delta,1,0
2020-05-07,Detroit,30,21
2020-05-07,Dickinson,0,0
2020-05-07,Eaton,5,0
2020-05-07,Emmet,0,0
2020-05-07,Genesee,21,5
2020-05-07,Gladwin,0,0
2020-05-07,Gogebic,0,0
2020-05-07,Grand Traverse,0,0
2020-05-07,Gratiot,1,0
2020-05-07,Hillsdale,8,0
2020-05-07,Houghton,0,0
2020-05-07,Huron,3,0
2020-05-07,Ingham,18,0
2020-05-07,Ionia,1,0
2020-05-07,Iosco,1,1
2020-05-07,Isabella,0,0
2020-05-07,Jackson,7,0
2020-05-07,Kalamazoo,22,2
2020-05-07,Kalkaska,0,0
2020-05-07,Kent,60,1
2020-05-07,Lake,0,0
2020-05-07,Lapeer,0,0
2020-05-07,Leelanau,0,0
2020-05-07,Lenawee,7,0
2020-05-07,Livingston,2,0
2020-05-07,Luce,0,0
2020-05-07,Mackinac,0,0
2020-05-07,Macomb,44,16
2020-05-07,Manistee,0,0
2020-05-07,Marquette,2,0
2020-05-07,Mason,1,0
2020-05-07,Mecosta,0,0
2020-05-07,Menominee,0,0
2020-05-07,Midland,0,1
2020-05-07,Missaukee,0,0
2020-05-07,Monroe,17,0
2020-05-07,Montcalm,0,0
2020-05-07,Montmorency,0,0
2020-05-07,Muskegon,9,0
2020-05-07,Newaygo,2,0
2020-05-07,Oakland,51,15
2020-05-07,Oceana,1,0
2020-05-07,Ogemaw,0,0
2020-05-07,Osceola,0,0
2020-05-07,Oscoda,0,0
2020-05-07,Otsego,0,0
2020-05-07,Ottawa,18,3
2020-05-07,Presque Isle,1,0
2020-05-07,Roscommon,0,0
2020-05-07,Saginaw,12,4
2020-05-07,Sanilac,0,0
2020-05-07,Schoolcraft,1,0
2020-05-07,Shiawassee,2,0
2020-05-07,St. Clair,0,1
2020-05-07,St. Joseph,3,0
2020-05-07,Tuscola,8,0
2020-05-07,Van Buren,5,0
2020-05-07,Washtenaw,11,0
2020-05-07,Wayne,66,18
2020-05-07,Wexford,0,0
2020-05-07,MDOC,100,2
2020-05-07,FCI,2,1
2020-05-07,Unknown,29,0
2020-05-07,Non-MI,-3,0
2020-05-07,Totals,45646,4343
