dates,county,cases,deaths
2020-05-30,Alcona,0,0
2020-05-30,Allegan,1,0
2020-05-30,Alpena,0,0
2020-05-30,Antrim,0,0
2020-05-30,Arenac,0,0
2020-05-30,Baraga,0,0
2020-05-30,Barry,0,0
2020-05-30,Bay,1,1
2020-05-30,Benzie,0,0
2020-05-30,Berrien,5,0
2020-05-30,Branch,6,0
2020-05-30,Calhoun,4,0
2020-05-30,Cass,2,0
2020-05-30,Charlevoix,0,0
2020-05-30,Cheboygan,0,0
2020-05-30,Chippewa,0,0
2020-05-30,Clare,0,0
2020-05-30,Clinton,0,0
2020-05-30,Crawford,0,0
2020-05-30,Delta,0,0
2020-05-30,Detroit,8,14
2020-05-30,Dickinson,0,0
2020-05-30,Eaton,2,0
2020-05-30,Emmet,0,0
2020-05-30,Genesee,6,2
2020-05-30,Gladwin,0,0
2020-05-30,Gogebic,0,0
2020-05-30,Grand Traverse,2,0
2020-05-30,Gratiot,0,1
2020-05-30,Hillsdale,0,0
2020-05-30,Houghton,1,0
2020-05-30,Huron,0,0
2020-05-30,Ingham,2,0
2020-05-30,Ionia,0,0
2020-05-30,Iosco,0,0
2020-05-30,Isabella,1,0
2020-05-30,Jackson,-63,0
2020-05-30,Kalamazoo,1,0
2020-05-30,Kalkaska,0,0
2020-05-30,Kent,46,4
2020-05-30,Lake,-2,0
2020-05-30,Lapeer,1,0
2020-05-30,Leelanau,0,0
2020-05-30,Lenawee,0,0
2020-05-30,Livingston,0,0
2020-05-30,Luce,0,0
2020-05-30,Mackinac,0,0
2020-05-30,Macomb,8,9
2020-05-30,Manistee,0,0
2020-05-30,Marquette,1,1
2020-05-30,Mason,0,0
2020-05-30,Mecosta,0,0
2020-05-30,Menominee,0,0
2020-05-30,Midland,1,0
2020-05-30,Missaukee,0,0
2020-05-30,Monroe,-1,0
2020-05-30,Montcalm,0,0
2020-05-30,Montmorency,0,0
2020-05-30,Muskegon,5,0
2020-05-30,Newaygo,2,0
2020-05-30,Oakland,8,8
2020-05-30,Oceana,0,0
2020-05-30,Ogemaw,0,0
2020-05-30,Osceola,0,0
2020-05-30,Oscoda,0,0
2020-05-30,Otsego,0,0
2020-05-30,Ottawa,7,0
2020-05-30,Presque Isle,0,0
2020-05-30,Roscommon,0,0
2020-05-30,Saginaw,11,0
2020-05-30,Sanilac,0,0
2020-05-30,Schoolcraft,0,0
2020-05-30,Shiawassee,1,0
2020-05-30,St. Clair,0,2
2020-05-30,St. Joseph,6,0
2020-05-30,Tuscola,-2,0
2020-05-30,Van Buren,4,0
2020-05-30,Washtenaw,13,-1
2020-05-30,Wayne,19,13
2020-05-30,Wexford,0,0
2020-05-30,MDOC,165,3
2020-05-30,FCI,4,0
2020-05-30,Unknown,-17,0
2020-05-30,Non-MI,4,0
2020-05-30,Grand Total,56884,5463
