2020-05-26,County,Confirmed Cases,Reported Deaths
2020-05-26,Alcona,11,1.0
2020-05-26,Allegan,212,6.0
2020-05-26,Alpena,95,9.0
2020-05-26,Antrim,12,0
2020-05-26,Arenac,33,1.0
2020-05-26,Baraga,1,0
2020-05-26,Barry,61,2.0
2020-05-26,Bay,287,19.0
2020-05-26,Benzie,4,0
2020-05-26,Berrien,596,47.0
2020-05-26,Branch,103,2.0
2020-05-26,Calhoun,349,21.0
2020-05-26,Cass,78,2.0
2020-05-26,Charlevoix,15,1.0
2020-05-26,Cheboygan,21,1.0
2020-05-26,Chippewa,2,0
2020-05-26,Clare,17,2.0
2020-05-26,Clinton,138,10.0
2020-05-26,Crawford,58,5.0
2020-05-26,Delta,17,2.0
2020-05-26,Detroit City,10818,1326.0
2020-05-26,Dickinson,5,2.0
2020-05-26,Eaton,178,6.0
2020-05-26,Emmet,21,2.0
2020-05-26,Genesee,1964,245.0
2020-05-26,Gladwin,18,1.0
2020-05-26,Gogebic,5,1.0
2020-05-26,Grand Traverse,23,5.0
2020-05-26,Gratiot,71,6.0
2020-05-26,Hillsdale,170,24.0
2020-05-26,Houghton,3,0
2020-05-26,Huron,42,1.0
2020-05-26,Ingham,705,25.0
2020-05-26,Ionia,144,3.0
2020-05-26,Iosco,84,9.0
2020-05-26,Isabella,74,7.0
2020-05-26,Jackson,438,26.0
2020-05-26,Kalamazoo,802,51.0
2020-05-26,Kalkaska,19,2.0
2020-05-26,Kent,3420,72.0
2020-05-26,Lake,5,0
2020-05-26,Lapeer,188,30.0
2020-05-26,Leelanau,11,0
2020-05-26,Lenawee,146,3.0
2020-05-26,Livingston,392,26.0
2020-05-26,Luce,3,0
2020-05-26,Mackinac,6,0
2020-05-26,Macomb,6528,779.0
2020-05-26,Manistee,11,0
2020-05-26,Marquette,54,10.0
2020-05-26,Mason,31,0
2020-05-26,Mecosta,19,2.0
2020-05-26,Menominee,8,0
2020-05-26,Midland,79,8.0
2020-05-26,Missaukee,16,1.0
2020-05-26,Monroe,464,19.0
2020-05-26,Montcalm,65,1.0
2020-05-26,Montmorency,5,0
2020-05-26,Muskegon,604,31.0
2020-05-26,Newaygo,92,0
2020-05-26,Oakland,8240,958.0
2020-05-26,Oceana,85,2.0
2020-05-26,Ogemaw,20,0
2020-05-26,Osceola,10,0
2020-05-26,Oscoda,5,1.0
2020-05-26,Otsego,100,10.0
2020-05-26,Ottawa,714,29.0
2020-05-26,Presque Isle,11,0
2020-05-26,Roscommon,21,0
2020-05-26,Saginaw,1000,107.0
2020-05-26,Sanilac,40,5.0
2020-05-26,Schoolcraft,4,0
2020-05-26,Shiawassee,236,24.0
2020-05-26,St Clair,431,36.0
2020-05-26,St Joseph,104,2.0
2020-05-26,Tuscola,186,23.0
2020-05-26,Van Buren,126,6.0
2020-05-26,Washtenaw,1301,96.0
2020-05-26,Wayne,9108,1042.0
2020-05-26,Wexford,11,2.0
2020-05-26,MDOC*,3305,64.0
2020-05-26,FCI**,138,4.0
2020-05-26,Unknown,3,0
2020-05-26,Out of State,64,0
2020-05-26,Grand Total,55104,5266.0
