2020-05-31,County,Confirmed Cases,Reported Deaths
2020-05-31,Alcona,15,1.0
2020-05-31,Allegan,218,6.0
2020-05-31,Alpena,94,9.0
2020-05-31,Antrim,12,0
2020-05-31,Arenac,34,1.0
2020-05-31,Baraga,1,0
2020-05-31,Barry,63,2.0
2020-05-31,Bay,310,23.0
2020-05-31,Benzie,4,0
2020-05-31,Berrien,626,49.0
2020-05-31,Branch,121,2.0
2020-05-31,Calhoun,371,22.0
2020-05-31,Cass,83,3.0
2020-05-31,Charlevoix,15,1.0
2020-05-31,Cheboygan,21,1.0
2020-05-31,Chippewa,2,0
2020-05-31,Clare,19,2.0
2020-05-31,Clinton,139,11.0
2020-05-31,Crawford,58,5.0
2020-05-31,Delta,17,2.0
2020-05-31,Detroit City,11041,1374.0
2020-05-31,Dickinson,5,2.0
2020-05-31,Eaton,190,6.0
2020-05-31,Emmet,21,2.0
2020-05-31,Genesee,2013,252.0
2020-05-31,Gladwin,18,1.0
2020-05-31,Gogebic,5,1.0
2020-05-31,Grand Traverse,27,5.0
2020-05-31,Gratiot,74,10.0
2020-05-31,Hillsdale,169,24.0
2020-05-31,Houghton,6,0
2020-05-31,Huron,48,1.0
2020-05-31,Ingham,738,26.0
2020-05-31,Ionia,148,4.0
2020-05-31,Iosco,94,9.0
2020-05-31,Isabella,77,7.0
2020-05-31,Jackson,448,28.0
2020-05-31,Kalamazoo,844,55.0
2020-05-31,Kalkaska,19,2.0
2020-05-31,Kent,3715,85.0
2020-05-31,Lake,6,0
2020-05-31,Lapeer,190,30.0
2020-05-31,Leelanau,11,0
2020-05-31,Lenawee,153,4.0
2020-05-31,Livingston,395,26.0
2020-05-31,Luce,3,0
2020-05-31,Mackinac,8,0
2020-05-31,Macomb,6695,810.0
2020-05-31,Manistee,11,0
2020-05-31,Marquette,56,11.0
2020-05-31,Mason,32,0
2020-05-31,Mecosta,21,2.0
2020-05-31,Menominee,8,0
2020-05-31,Midland,82,8.0
2020-05-31,Missaukee,16,1.0
2020-05-31,Monroe,474,19.0
2020-05-31,Montcalm,66,1.0
2020-05-31,Montmorency,5,0
2020-05-31,Muskegon,643,36.0
2020-05-31,Newaygo,105,0
2020-05-31,Oakland,8396,988.0
2020-05-31,Oceana,85,2.0
2020-05-31,Ogemaw,21,1.0
2020-05-31,Osceola,11,0
2020-05-31,Oscoda,5,1.0
2020-05-31,Otsego,102,10.0
2020-05-31,Ottawa,774,34.0
2020-05-31,Presque Isle,11,0
2020-05-31,Roscommon,21,0
2020-05-31,Saginaw,1038,108.0
2020-05-31,Sanilac,41,5.0
2020-05-31,Schoolcraft,4,0
2020-05-31,Shiawassee,240,26.0
2020-05-31,St Clair,449,41.0
2020-05-31,St Joseph,119,2.0
2020-05-31,Tuscola,187,23.0
2020-05-31,Van Buren,144,6.0
2020-05-31,Washtenaw,1336,99.0
2020-05-31,Wayne,9374,1087.0
2020-05-31,Wexford,11,3.0
2020-05-31,MDOC*,3933,69.0
2020-05-31,FCI**,146,4.0
2020-05-31,Unknown,4,0
2020-05-31,Out of State,42,0
2020-05-31,Grand Total,57397,5491.0
