2020-03-29,County,Cases,Deaths
2020-03-29,Allegan,2,0
2020-03-29,Barry,1,0
2020-03-29,Bay,5,0
2020-03-29,Berrien,29,0
2020-03-29,Calhoun,15,0
2020-03-29,Cass,4,0
2020-03-29,Charlevoix,4,0
2020-03-29,Cheboygan,1,0
2020-03-29,Clare,1,0
2020-03-29,Clinton,14,0
2020-03-29,Crawford,1,0
2020-03-29,Detroit City,1542,35
2020-03-29,Eaton,8,0
2020-03-29,Emmet,4,0
2020-03-29,Genesee,127,5
2020-03-29,Gladwin,3,0
2020-03-29,Gogebic,1,1
2020-03-29,Grand Traverse,6,0
2020-03-29,Gratiot,3,0
2020-03-29,Hillsdale,10,1
2020-03-29,Huron,3,0
2020-03-29,Ingham,43,0
2020-03-29,Ionia,2,0
2020-03-29,Iosco,1,0
2020-03-29,Isabella,4,1
2020-03-29,Jackson,24,1
2020-03-29,Kalamazoo,19,0
2020-03-29,Kalkaska,4,0
2020-03-29,Kent,72,1
2020-03-29,Lapeer,4,0
2020-03-29,Leelanau,1,0
2020-03-29,Lenawee,15,0
2020-03-29,Livingston,59,2
2020-03-29,Macomb,620,20
2020-03-29,Manistee,1,0
2020-03-29,Marquette,2,0
2020-03-29,Mecosta,1,1
2020-03-29,Midland,8,0
2020-03-29,Missaukee,1,1
2020-03-29,Monroe,38,0
2020-03-29,Montcalm,3,0
2020-03-29,Muskegon,13,2
2020-03-29,Newaygo,1,0
2020-03-29,Oakland,1170,34
2020-03-29,Oceana,2,0
2020-03-29,Ogemaw,1,0
2020-03-29,Osceola,2,0
2020-03-29,Otsego,17,0
2020-03-29,Ottawa,25,0
2020-03-29,Roscommon,1,0
2020-03-29,Saginaw,24,0
2020-03-29,Sanilac,2,0
2020-03-29,Shiawassee,5,0
2020-03-29,St. Clair,20,0
2020-03-29,Tuscola,4,1
2020-03-29,Van Buren,4,0
2020-03-29,Washtenaw,231,5
2020-03-29,Wayne,1162,21
2020-03-29,Wexford,1,0
2020-03-29,Other*,77,0
2020-03-29,Out of State,18,0
2020-03-29,Total,5486,132
