dates,county,cases,deaths
2020-04-20,Alcona,3,0
2020-04-20,Allegan,1,0
2020-04-20,Alpena,1,0
2020-04-20,Antrim,0,0
2020-04-20,Arenac,1,1
2020-04-20,Barry,1,0
2020-04-20,Bay,3,0
2020-04-20,Benzie,1,0
2020-04-20,Berrien,6,0
2020-04-20,Branch,2,0
2020-04-20,Calhoun,7,0
2020-04-20,Cass,0,0
2020-04-20,Charlevoix,0,0
2020-04-20,Cheboygan,0,0
2020-04-20,Chippewa,1,0
2020-04-20,Clare,1,0
2020-04-20,Clinton,1,1
2020-04-20,Crawford,0,0
2020-04-20,Delta,1,0
2020-04-20,Detroit,132,23
2020-04-20,Dickinson,0,0
2020-04-20,Eaton,2,0
2020-04-20,Emmet,0,0
2020-04-20,Genesee,16,8
2020-04-20,Gladwin,0,1
2020-04-20,Gogebic,0,0
2020-04-20,Grand Traverse,1,0
2020-04-20,Gratiot,0,0
2020-04-20,Hillsdale,0,0
2020-04-20,Houghton,0,0
2020-04-20,Huron,0,1
2020-04-20,Ingham,6,0
2020-04-20,Ionia,-1,0
2020-04-20,Iosco,2,1
2020-04-20,Isabella,0,0
2020-04-20,Jackson,12,0
2020-04-20,Kalamazoo,19,0
2020-04-20,Kalkaska,0,0
2020-04-20,Kent,47,-1
2020-04-20,Lake,0,0
2020-04-20,Lapeer,2,2
2020-04-20,Leelanau,-1,0
2020-04-20,Lenawee,1,0
2020-04-20,Livingston,9,0
2020-04-20,Luce,0,0
2020-04-20,Mackinac,0,0
2020-04-20,Macomb,65,12
2020-04-20,Manistee,0,0
2020-04-20,Marquette,0,0
2020-04-20,Mason,0,0
2020-04-20,Mecosta,1,0
2020-04-20,Menominee,0,0
2020-04-20,Midland,2,1
2020-04-20,Missaukee,1,0
2020-04-20,Monroe,3,0
2020-04-20,Montcalm,2,0
2020-04-20,Montmorency,0,0
2020-04-20,Muskegon,6,1
2020-04-20,Newaygo,0,0
2020-04-20,Oakland,69,8
2020-04-20,Oceana,0,0
2020-04-20,Ogemaw,0,0
2020-04-20,Osceola,1,0
2020-04-20,Oscoda,-1,1
2020-04-20,Otsego,0,0
2020-04-20,Ottawa,12,2
2020-04-20,Presque Isle,0,0
2020-04-20,Roscommon,1,0
2020-04-20,Saginaw,15,5
2020-04-20,Sanilac,-1,0
2020-04-20,Schoolcraft,0,0
2020-04-20,Shiawassee,15,0
2020-04-20,St. Clair,8,0
2020-04-20,St. Joseph,0,0
2020-04-20,Tuscola,2,1
2020-04-20,Van Buren,1,0
2020-04-20,Washtenaw,8,1
2020-04-20,Wayne,88,6
2020-04-20,Wexford,0,0
2020-04-20,MDOC,5,2
2020-04-20,FCI,4,0
2020-04-20,Unknown,-1,0
2020-04-20,Non-MI,-7,0
2020-04-20,Totals,32000,2468
