dates,county,cases,deaths
2020-05-05,Alcona,0,0
2020-05-05,Allegan,4,0
2020-05-05,Alpena,2,0
2020-05-05,Antrim,0,0
2020-05-05,Arenac,-1,0
2020-05-05,Baraga,0,0
2020-05-05,Barry,2,0
2020-05-05,Bay,1,0
2020-05-05,Benzie,0,0
2020-05-05,Berrien,11,0
2020-05-05,Branch,4,0
2020-05-05,Calhoun,2,0
2020-05-05,Cass,1,0
2020-05-05,Charlevoix,0,0
2020-05-05,Cheboygan,0,0
2020-05-05,Chippewa,0,0
2020-05-05,Clare,0,0
2020-05-05,Clinton,1,0
2020-05-05,Crawford,0,0
2020-05-05,Delta,1,0
2020-05-05,Detroit,30,11
2020-05-05,Dickinson,0,0
2020-05-05,Eaton,1,0
2020-05-05,Emmet,0,0
2020-05-05,Genesee,21,1
2020-05-05,Gladwin,0,0
2020-05-05,Gogebic,-1,0
2020-05-05,Grand Traverse,0,0
2020-05-05,Gratiot,1,0
2020-05-05,Hillsdale,6,0
2020-05-05,Houghton,0,0
2020-05-05,Huron,1,0
2020-05-05,Ingham,12,1
2020-05-05,Ionia,3,0
2020-05-05,Iosco,0,0
2020-05-05,Isabella,0,0
2020-05-05,Jackson,4,0
2020-05-05,Kalamazoo,9,0
2020-05-05,Kalkaska,0,0
2020-05-05,Kent,60,1
2020-05-05,Lake,0,0
2020-05-05,Lapeer,2,0
2020-05-05,Leelanau,0,0
2020-05-05,Lenawee,0,0
2020-05-05,Livingston,6,0
2020-05-05,Luce,0,0
2020-05-05,Mackinac,0,0
2020-05-05,Macomb,53,4
2020-05-05,Manistee,0,0
2020-05-05,Marquette,-1,0
2020-05-05,Mason,1,0
2020-05-05,Mecosta,0,0
2020-05-05,Menominee,0,0
2020-05-05,Midland,0,0
2020-05-05,Missaukee,0,0
2020-05-05,Monroe,7,0
2020-05-05,Montcalm,1,0
2020-05-05,Montmorency,0,0
2020-05-05,Muskegon,5,1
2020-05-05,Newaygo,3,0
2020-05-05,Oakland,23,10
2020-05-05,Oceana,2,0
2020-05-05,Ogemaw,0,0
2020-05-05,Osceola,0,0
2020-05-05,Oscoda,0,0
2020-05-05,Otsego,1,0
2020-05-05,Ottawa,14,0
2020-05-05,Presque Isle,0,0
2020-05-05,Roscommon,0,0
2020-05-05,Saginaw,14,2
2020-05-05,Sanilac,0,0
2020-05-05,Schoolcraft,0,0
2020-05-05,Shiawassee,4,0
2020-05-05,St. Clair,3,0
2020-05-05,St. Joseph,1,0
2020-05-05,Tuscola,4,0
2020-05-05,Van Buren,2,0
2020-05-05,Washtenaw,5,0
2020-05-05,Wayne,47,10
2020-05-05,Wexford,0,0
2020-05-05,MDOC,28,3
2020-05-05,FCI,3,0
2020-05-05,Non-MI,42,0
2020-05-05,Unknown,2,0
2020-05-05,Totals,44397,4179
