2020-06-04,County,Confirmed Cases,Reported Deaths
2020-06-04,Alcona,17,1.0
2020-06-04,Allegan,223,6.0
2020-06-04,Alpena,96,9.0
2020-06-04,Antrim,12,0
2020-06-04,Arenac,34,1.0
2020-06-04,Baraga,1,0
2020-06-04,Barry,65,2.0
2020-06-04,Bay,326,24.0
2020-06-04,Benzie,4,0
2020-06-04,Berrien,646,53.0
2020-06-04,Branch,126,2.0
2020-06-04,Calhoun,398,23.0
2020-06-04,Cass,85,3.0
2020-06-04,Charlevoix,15,1.0
2020-06-04,Cheboygan,21,1.0
2020-06-04,Chippewa,2,0
2020-06-04,Clare,19,2.0
2020-06-04,Clinton,142,11.0
2020-06-04,Crawford,59,5.0
2020-06-04,Delta,17,2.0
2020-06-04,Detroit City,11116,1388.0
2020-06-04,Dickinson,5,2.0
2020-06-04,Eaton,192,6.0
2020-06-04,Emmet,21,2.0
2020-06-04,Genesee,2046,253.0
2020-06-04,Gladwin,18,1.0
2020-06-04,Gogebic,5,1.0
2020-06-04,Grand Traverse,28,5.0
2020-06-04,Gratiot,76,11.0
2020-06-04,Hillsdale,170,24.0
2020-06-04,Houghton,7,0
2020-06-04,Huron,48,1.0
2020-06-04,Ingham,755,27.0
2020-06-04,Ionia,154,4.0
2020-06-04,Iosco,95,9.0
2020-06-04,Iron,1,0
2020-06-04,Isabella,78,7.0
2020-06-04,Jackson,459,28.0
2020-06-04,Kalamazoo,858,58.0
2020-06-04,Kalkaska,19,2.0
2020-06-04,Kent,3851,95.0
2020-06-04,Lake,6,0
2020-06-04,Lapeer,192,30.0
2020-06-04,Leelanau,11,0
2020-06-04,Lenawee,155,5.0
2020-06-04,Livingston,405,26.0
2020-06-04,Luce,3,0
2020-06-04,Mackinac,8,0
2020-06-04,Macomb,6790,828.0
2020-06-04,Manistee,11,0
2020-06-04,Marquette,56,11.0
2020-06-04,Mason,32,0
2020-06-04,Mecosta,21,2.0
2020-06-04,Menominee,8,0
2020-06-04,Midland,82,8.0
2020-06-04,Missaukee,16,1.0
2020-06-04,Monroe,474,20.0
2020-06-04,Montcalm,69,1.0
2020-06-04,Montmorency,5,0
2020-06-04,Muskegon,675,37.0
2020-06-04,Newaygo,111,0
2020-06-04,Oakland,8438,1006.0
2020-06-04,Oceana,94,2.0
2020-06-04,Ogemaw,23,1.0
2020-06-04,Osceola,12,0
2020-06-04,Oscoda,5,1.0
2020-06-04,Otsego,102,10.0
2020-06-04,Ottawa,807,38.0
2020-06-04,Presque Isle,11,0
2020-06-04,Roscommon,21,0
2020-06-04,Saginaw,1065,109.0
2020-06-04,Sanilac,42,5.0
2020-06-04,Schoolcraft,4,0
2020-06-04,Shiawassee,239,26.0
2020-06-04,St Clair,453,43.0
2020-06-04,St Joseph,133,3.0
2020-06-04,Tuscola,188,25.0
2020-06-04,Van Buren,150,6.0
2020-06-04,Washtenaw,1347,100.0
2020-06-04,Wayne,9474,1104.0
2020-06-04,Wexford,12,3.0
2020-06-04,MDOC*,3987,70.0
2020-06-04,FCI**,152,4.0
2020-06-04,Unknown,12,0
2020-06-04,Out of State,30,0
2020-06-04,Totals,58241,5595.0
