2020-06-02,County,Confirmed Cases,Reported Deaths
2020-06-02,Alcona,17,1.0
2020-06-02,Allegan,221,6.0
2020-06-02,Alpena,95,9.0
2020-06-02,Antrim,12,0
2020-06-02,Arenac,34,1.0
2020-06-02,Baraga,1,0
2020-06-02,Barry,64,2.0
2020-06-02,Bay,317,24.0
2020-06-02,Benzie,4,0
2020-06-02,Berrien,636,53.0
2020-06-02,Branch,124,2.0
2020-06-02,Calhoun,386,23.0
2020-06-02,Cass,83,3.0
2020-06-02,Charlevoix,15,1.0
2020-06-02,Cheboygan,21,1.0
2020-06-02,Chippewa,2,0
2020-06-02,Clare,19,2.0
2020-06-02,Clinton,140,11.0
2020-06-02,Crawford,58,5.0
2020-06-02,Delta,17,2.0
2020-06-02,Detroit City,11068,1380.0
2020-06-02,Dickinson,5,2.0
2020-06-02,Eaton,189,6.0
2020-06-02,Emmet,21,2.0
2020-06-02,Genesee,2021,252.0
2020-06-02,Gladwin,18,1.0
2020-06-02,Gogebic,5,1.0
2020-06-02,Grand Traverse,27,5.0
2020-06-02,Gratiot,76,11.0
2020-06-02,Hillsdale,169,24.0
2020-06-02,Houghton,6,0
2020-06-02,Huron,48,1.0
2020-06-02,Ingham,745,27.0
2020-06-02,Ionia,152,4.0
2020-06-02,Iosco,96,9.0
2020-06-02,Iron,1,0
2020-06-02,Isabella,78,7.0
2020-06-02,Jackson,456,28.0
2020-06-02,Kalamazoo,848,58.0
2020-06-02,Kalkaska,19,2.0
2020-06-02,Kent,3777,93.0
2020-06-02,Lake,6,0
2020-06-02,Lapeer,191,30.0
2020-06-02,Leelanau,11,0
2020-06-02,Lenawee,154,4.0
2020-06-02,Livingston,397,26.0
2020-06-02,Luce,3,0
2020-06-02,Mackinac,8,0
2020-06-02,Macomb,6720,818.0
2020-06-02,Manistee,11,0
2020-06-02,Marquette,56,12.0
2020-06-02,Mason,32,0
2020-06-02,Mecosta,21,2.0
2020-06-02,Menominee,8,0
2020-06-02,Midland,82,8.0
2020-06-02,Missaukee,16,1.0
2020-06-02,Monroe,472,21.0
2020-06-02,Montcalm,66,1.0
2020-06-02,Montmorency,5,0
2020-06-02,Muskegon,648,37.0
2020-06-02,Newaygo,108,0
2020-06-02,Oakland,8412,999.0
2020-06-02,Oceana,89,2.0
2020-06-02,Ogemaw,22,1.0
2020-06-02,Osceola,11,0
2020-06-02,Oscoda,5,1.0
2020-06-02,Otsego,102,10.0
2020-06-02,Ottawa,786,35.0
2020-06-02,Presque Isle,11,0
2020-06-02,Roscommon,21,0
2020-06-02,Saginaw,1050,109.0
2020-06-02,Sanilac,41,5.0
2020-06-02,Schoolcraft,4,0
2020-06-02,Shiawassee,240,26.0
2020-06-02,St Clair,448,43.0
2020-06-02,St Joseph,129,2.0
2020-06-02,Tuscola,189,24.0
2020-06-02,Van Buren,147,6.0
2020-06-02,Washtenaw,1340,99.0
2020-06-02,Wayne,9400,1095.0
2020-06-02,Wexford,12,3.0
2020-06-02,MDOC*,3965,70.0
2020-06-02,FCI**,147,4.0
2020-06-02,Unknown,12,0
2020-06-02,Out of State,42,0
2020-06-02,Totals,57731,5553.0
