dates,county,cases,deaths
2020-05-20,Alcona,2,0
2020-05-20,Allegan,7,2
2020-05-20,Alpena,0,0
2020-05-20,Antrim,0,0
2020-05-20,Arenac,1,0
2020-05-20,Baraga,0,0
2020-05-20,Barry,-1,0
2020-05-20,Bay,5,0
2020-05-20,Benzie,0,0
2020-05-20,Berrien,14,1
2020-05-20,Branch,2,0
2020-05-20,Calhoun,12,0
2020-05-20,Cass,5,0
2020-05-20,Charlevoix,0,0
2020-05-20,Cheboygan,2,0
2020-05-20,Chippewa,0,0
2020-05-20,Clare,2,0
2020-05-20,Clinton,0,0
2020-05-20,Crawford,1,0
2020-05-20,Delta,1,0
2020-05-20,Detroit,82,4
2020-05-20,Dickinson,0,0
2020-05-20,Eaton,3,0
2020-05-20,Emmet,0,0
2020-05-20,Genesee,24,3
2020-05-20,Gladwin,0,0
2020-05-20,Gogebic,0,0
2020-05-20,Grand Traverse,0,0
2020-05-20,Gratiot,6,0
2020-05-20,Hillsdale,2,0
2020-05-20,Houghton,0,0
2020-05-20,Huron,-3,0
2020-05-20,Ingham,17,0
2020-05-20,Ionia,1,0
2020-05-20,Iosco,6,1
2020-05-20,Isabella,3,0
2020-05-20,Jackson,3,0
2020-05-20,Kalamazoo,12,1
2020-05-20,Kalkaska,1,0
2020-05-20,Kent,102,2
2020-05-20,Lake,0,0
2020-05-20,Lapeer,2,0
2020-05-20,Leelanau,0,0
2020-05-20,Lenawee,0,0
2020-05-20,Livingston,2,0
2020-05-20,Luce,0,0
2020-05-20,Mackinac,0,0
2020-05-20,Macomb,25,10
2020-05-20,Manistee,0,0
2020-05-20,Marquette,0,0
2020-05-20,Mason,1,0
2020-05-20,Mecosta,0,0
2020-05-20,Menominee,0,0
2020-05-20,Midland,0,0
2020-05-20,Missaukee,0,0
2020-05-20,Monroe,5,0
2020-05-20,Montcalm,4,0
2020-05-20,Montmorency,0,0
2020-05-20,Muskegon,11,1
2020-05-20,Newaygo,12,0
2020-05-20,Oakland,39,7
2020-05-20,Oceana,8,0
2020-05-20,Ogemaw,2,0
2020-05-20,Osceola,0,0
2020-05-20,Oscoda,1,0
2020-05-20,Otsego,0,0
2020-05-20,Ottawa,43,1
2020-05-20,Presque Isle,0,0
2020-05-20,Roscommon,0,0
2020-05-20,Saginaw,17,1
2020-05-20,Sanilac,0,0
2020-05-20,Schoolcraft,0,0
2020-05-20,Shiawassee,11,0
2020-05-20,St. Clair,7,1
2020-05-20,St. Joseph,2,1
2020-05-20,Tuscola,1,1
2020-05-20,Van Buren,0,0
2020-05-20,Washtenaw,10,1
2020-05-20,Wayne,58,5
2020-05-20,Wexford,0,0
2020-05-20,MDOC,73,0
2020-05-20,FCI,4,0
2020-05-20,Unknown,1,0
2020-05-20,Non-MI,8,0
2020-05-20,Grand Total,53009,5060
