dates,county,cases,deaths
2020-05-28,Alcona,2,0
2020-05-28,Allegan,3,0
2020-05-28,Alpena,-1,0
2020-05-28,Antrim,0,0
2020-05-28,Arenac,0,0
2020-05-28,Baraga,0,0
2020-05-28,Barry,0,0
2020-05-28,Bay,2,0
2020-05-28,Benzie,0,0
2020-05-28,Berrien,6,1
2020-05-28,Branch,4,0
2020-05-28,Calhoun,6,0
2020-05-28,Cass,1,0
2020-05-28,Charlevoix,0,0
2020-05-28,Cheboygan,0,0
2020-05-28,Chippewa,0,0
2020-05-28,Clare,1,0
2020-05-28,Clinton,-3,0
2020-05-28,Crawford,0,0
2020-05-28,Delta,0,0
2020-05-28,Detroit,31,4
2020-05-28,Dickinson,0,0
2020-05-28,Eaton,4,0
2020-05-28,Emmet,0,0
2020-05-28,Genesee,12,2
2020-05-28,Gladwin,0,0
2020-05-28,Gogebic,0,0
2020-05-28,Grand Traverse,0,0
2020-05-28,Gratiot,0,0
2020-05-28,Hillsdale,0,0
2020-05-28,Houghton,1,0
2020-05-28,Huron,2,0
2020-05-28,Ingham,12,0
2020-05-28,Ionia,2,1
2020-05-28,Iosco,1,0
2020-05-28,Isabella,2,0
2020-05-28,Jackson,6,1
2020-05-28,Kalamazoo,6,3
2020-05-28,Kalkaska,0,0
2020-05-28,Kent,86,3
2020-05-28,Lake,0,0
2020-05-28,Lapeer,0,0
2020-05-28,Leelanau,0,0
2020-05-28,Lenawee,3,0
2020-05-28,Livingston,0,0
2020-05-28,Luce,0,0
2020-05-28,Mackinac,2,0
2020-05-28,Macomb,28,3
2020-05-28,Manistee,0,0
2020-05-28,Marquette,0,0
2020-05-28,Mason,0,0
2020-05-28,Mecosta,0,0
2020-05-28,Menominee,0,0
2020-05-28,Midland,1,0
2020-05-28,Missaukee,0,0
2020-05-28,Monroe,4,0
2020-05-28,Montcalm,0,0
2020-05-28,Montmorency,0,0
2020-05-28,Muskegon,13,3
2020-05-28,Newaygo,5,0
2020-05-28,Oakland,21,10
2020-05-28,Oceana,0,0
2020-05-28,Ogemaw,0,1
2020-05-28,Osceola,0,0
2020-05-28,Oscoda,0,0
2020-05-28,Otsego,0,0
2020-05-28,Ottawa,29,0
2020-05-28,Presque Isle,0,0
2020-05-28,Roscommon,0,0
2020-05-28,Saginaw,11,1
2020-05-28,Sanilac,0,0
2020-05-28,Schoolcraft,0,0
2020-05-28,Shiawassee,2,0
2020-05-28,St. Clair,7,0
2020-05-28,St. Joseph,1,0
2020-05-28,Tuscola,0,0
2020-05-28,Van Buren,3,0
2020-05-28,Washtenaw,8,3
2020-05-28,Wayne,29,0
2020-05-28,Wexford,0,1
2020-05-28,MDOC,56,1
2020-05-28,FCI,4,0
2020-05-28,Unknown,-13,0
2020-05-28,Non-MI,6,0
2020-05-28,Grand Total,56014,5372
