dates,county,cases,deaths
2020-05-23,Alcona,1,0
2020-05-23,Allegan,5,1
2020-05-23,Alpena,1,0
2020-05-23,Antrim,0,0
2020-05-23,Arenac,0,0
2020-05-23,Baraga,0,0
2020-05-23,Barry,2,0
2020-05-23,Bay,7,3
2020-05-23,Benzie,0,0
2020-05-23,Berrien,13,-1
2020-05-23,Branch,1,0
2020-05-23,Calhoun,5,1
2020-05-23,Cass,3,0
2020-05-23,Charlevoix,0,0
2020-05-23,Cheboygan,0,0
2020-05-23,Chippewa,0,0
2020-05-23,Clare,0,0
2020-05-23,Clinton,1,0
2020-05-23,Crawford,0,0
2020-05-23,Delta,0,0
2020-05-23,Detroit,59,25
2020-05-23,Dickinson,0,0
2020-05-23,Eaton,2,0
2020-05-23,Emmet,0,0
2020-05-23,Genesee,7,0
2020-05-23,Gladwin,0,0
2020-05-23,Gogebic,0,0
2020-05-23,Grand Traverse,0,0
2020-05-23,Gratiot,4,0
2020-05-23,Hillsdale,0,0
2020-05-23,Houghton,0,0
2020-05-23,Huron,0,0
2020-05-23,Ingham,13,1
2020-05-23,Ionia,6,0
2020-05-23,Iosco,1,0
2020-05-23,Isabella,3,0
2020-05-23,Jackson,2,0
2020-05-23,Kalamazoo,15,0
2020-05-23,Kalkaska,1,0
2020-05-23,Kent,77,2
2020-05-23,Lake,0,0
2020-05-23,Lapeer,4,0
2020-05-23,Leelanau,0,0
2020-05-23,Lenawee,1,0
2020-05-23,Livingston,0,0
2020-05-23,Luce,0,0
2020-05-23,Mackinac,0,0
2020-05-23,Macomb,37,2
2020-05-23,Manistee,0,0
2020-05-23,Marquette,1,0
2020-05-23,Mason,0,0
2020-05-23,Mecosta,0,0
2020-05-23,Menominee,0,0
2020-05-23,Midland,0,0
2020-05-23,Missaukee,0,0
2020-05-23,Monroe,6,0
2020-05-23,Montcalm,3,0
2020-05-23,Montmorency,0,0
2020-05-23,Muskegon,22,2
2020-05-23,Newaygo,4,0
2020-05-23,Oakland,61,10
2020-05-23,Oceana,1,0
2020-05-23,Ogemaw,0,0
2020-05-23,Osceola,0,0
2020-05-23,Oscoda,0,0
2020-05-23,Otsego,0,0
2020-05-23,Ottawa,16,0
2020-05-23,Presque Isle,0,0
2020-05-23,Roscommon,0,0
2020-05-23,Saginaw,9,1
2020-05-23,Sanilac,0,0
2020-05-23,Schoolcraft,0,0
2020-05-23,Shiawassee,-9,2
2020-05-23,St. Clair,3,1
2020-05-23,St. Joseph,4,0
2020-05-23,Tuscola,6,0
2020-05-23,Van Buren,1,0
2020-05-23,Washtenaw,7,0
2020-05-23,Wayne,36,13
2020-05-23,Wexford,0,0
2020-05-23,MDOC,14,2
2020-05-23,FCI,4,0
2020-05-23,Unknown,-21,0
2020-05-23,Non-MI,13,0
2020-05-23,Grand Total,54365,5223
