2020-05-28,County,Confirmed Cases,Reported Deaths
2020-05-28,Alcona,14,1.0
2020-05-28,Allegan,214,6.0
2020-05-28,Alpena,94,9.0
2020-05-28,Antrim,12,0
2020-05-28,Arenac,33,1.0
2020-05-28,Baraga,1,0
2020-05-28,Barry,62,2.0
2020-05-28,Bay,296,22.0
2020-05-28,Benzie,4,0
2020-05-28,Berrien,606,49.0
2020-05-28,Branch,109,2.0
2020-05-28,Calhoun,357,22.0
2020-05-28,Cass,80,2.0
2020-05-28,Charlevoix,15,1.0
2020-05-28,Cheboygan,21,1.0
2020-05-28,Chippewa,2,0
2020-05-28,Clare,18,2.0
2020-05-28,Clinton,139,10.0
2020-05-28,Crawford,58,5.0
2020-05-28,Delta,17,2.0
2020-05-28,Detroit City,10903,1351.0
2020-05-28,Dickinson,5,2.0
2020-05-28,Eaton,183,6.0
2020-05-28,Emmet,21,2.0
2020-05-28,Genesee,1983,249.0
2020-05-28,Gladwin,18,1.0
2020-05-28,Gogebic,5,1.0
2020-05-28,Grand Traverse,23,5.0
2020-05-28,Gratiot,74,8.0
2020-05-28,Hillsdale,169,24.0
2020-05-28,Houghton,5,0
2020-05-28,Huron,44,1.0
2020-05-28,Ingham,729,25.0
2020-05-28,Ionia,147,4.0
2020-05-28,Iosco,90,9.0
2020-05-28,Isabella,76,7.0
2020-05-28,Jackson,445,27.0
2020-05-28,Kalamazoo,820,54.0
2020-05-28,Kalkaska,19,2.0
2020-05-28,Kent,3540,79.0
2020-05-28,Lake,5,0
2020-05-28,Lapeer,188,30.0
2020-05-28,Leelanau,11,0
2020-05-28,Lenawee,150,4.0
2020-05-28,Livingston,391,26.0
2020-05-28,Luce,3,0
2020-05-28,Mackinac,8,0
2020-05-28,Macomb,6586,787.0
2020-05-28,Manistee,11,0
2020-05-28,Marquette,54,10.0
2020-05-28,Mason,31,0
2020-05-28,Mecosta,20,2.0
2020-05-28,Menominee,8,0
2020-05-28,Midland,81,8.0
2020-05-28,Missaukee,16,1.0
2020-05-28,Monroe,468,19.0
2020-05-28,Montcalm,65,1.0
2020-05-28,Montmorency,5,0
2020-05-28,Muskegon,619,36.0
2020-05-28,Newaygo,101,0
2020-05-28,Oakland,8281,971.0
2020-05-28,Oceana,85,2.0
2020-05-28,Ogemaw,21,1.0
2020-05-28,Osceola,11,0
2020-05-28,Oscoda,5,1.0
2020-05-28,Otsego,100,10.0
2020-05-28,Ottawa,744,31.0
2020-05-28,Presque Isle,11,0
2020-05-28,Roscommon,21,0
2020-05-28,Saginaw,1013,108.0
2020-05-28,Sanilac,40,5.0
2020-05-28,Schoolcraft,4,0
2020-05-28,Shiawassee,239,26.0
2020-05-28,St Clair,438,37.0
2020-05-28,St Joseph,110,2.0
2020-05-28,Tuscola,186,23.0
2020-05-28,Van Buren,134,6.0
2020-05-28,Washtenaw,1313,100.0
2020-05-28,Wayne,9156,1059.0
2020-05-28,Wexford,11,3.0
2020-05-28,MDOC*,3604,65.0
2020-05-28,FCI**,142,4.0
2020-05-28,Unknown,3,0
2020-05-28,Out of State,70,0
2020-05-28,Grand Total,56014,5372.0
