2020-05-30,County,Confirmed Cases,Reported Deaths
2020-05-30,Alcona,14,1.0
2020-05-30,Allegan,217,6.0
2020-05-30,Alpena,94,9.0
2020-05-30,Antrim,12,0
2020-05-30,Arenac,34,1.0
2020-05-30,Baraga,1,0
2020-05-30,Barry,62,2.0
2020-05-30,Bay,303,23.0
2020-05-30,Benzie,4,0
2020-05-30,Berrien,618,49.0
2020-05-30,Branch,117,2.0
2020-05-30,Calhoun,365,22.0
2020-05-30,Cass,82,3.0
2020-05-30,Charlevoix,15,1.0
2020-05-30,Cheboygan,21,1.0
2020-05-30,Chippewa,2,0
2020-05-30,Clare,18,2.0
2020-05-30,Clinton,139,10.0
2020-05-30,Crawford,58,5.0
2020-05-30,Delta,17,2.0
2020-05-30,Detroit City,10937,1370.0
2020-05-30,Dickinson,5,2.0
2020-05-30,Eaton,187,6.0
2020-05-30,Emmet,21,2.0
2020-05-30,Genesee,2004,252.0
2020-05-30,Gladwin,18,1.0
2020-05-30,Gogebic,5,1.0
2020-05-30,Grand Traverse,27,5.0
2020-05-30,Gratiot,74,9.0
2020-05-30,Hillsdale,169,24.0
2020-05-30,Houghton,6,0
2020-05-30,Huron,44,1.0
2020-05-30,Ingham,736,25.0
2020-05-30,Ionia,147,4.0
2020-05-30,Iosco,94,9.0
2020-05-30,Isabella,77,7.0
2020-05-30,Jackson,447,28.0
2020-05-30,Kalamazoo,834,54.0
2020-05-30,Kalkaska,19,2.0
2020-05-30,Kent,3642,84.0
2020-05-30,Lake,5,0
2020-05-30,Lapeer,189,30.0
2020-05-30,Leelanau,11,0
2020-05-30,Lenawee,151,4.0
2020-05-30,Livingston,395,26.0
2020-05-30,Luce,3,0
2020-05-30,Mackinac,8,0
2020-05-30,Macomb,6624,802.0
2020-05-30,Manistee,11,0
2020-05-30,Marquette,55,11.0
2020-05-30,Mason,32,0
2020-05-30,Mecosta,21,2.0
2020-05-30,Menominee,8,0
2020-05-30,Midland,82,8.0
2020-05-30,Missaukee,16,1.0
2020-05-30,Monroe,468,19.0
2020-05-30,Montcalm,65,1.0
2020-05-30,Montmorency,5,0
2020-05-30,Muskegon,636,36.0
2020-05-30,Newaygo,105,0
2020-05-30,Oakland,8319,983.0
2020-05-30,Oceana,85,2.0
2020-05-30,Ogemaw,21,1.0
2020-05-30,Osceola,11,0
2020-05-30,Oscoda,5,1.0
2020-05-30,Otsego,100,10.0
2020-05-30,Ottawa,766,33.0
2020-05-30,Presque Isle,11,0
2020-05-30,Roscommon,21,0
2020-05-30,Saginaw,1029,108.0
2020-05-30,Sanilac,41,5.0
2020-05-30,Schoolcraft,4,0
2020-05-30,Shiawassee,240,26.0
2020-05-30,St Clair,448,41.0
2020-05-30,St Joseph,118,2.0
2020-05-30,Tuscola,187,23.0
2020-05-30,Van Buren,140,6.0
2020-05-30,Washtenaw,1331,99.0
2020-05-30,Wayne,9317,1082.0
2020-05-30,Wexford,11,3.0
2020-05-30,MDOC*,3914,69.0
2020-05-30,FCI**,146,4.0
2020-05-30,Unknown,7,0
2020-05-30,Out of State,36,0
2020-05-30,Grand Total,56884,5463.0
