2020-05-29,County,Confirmed Cases,Reported Deaths
2020-05-29,Alcona,14,1.0
2020-05-29,Allegan,216,6.0
2020-05-29,Alpena,94,9.0
2020-05-29,Antrim,12,0
2020-05-29,Arenac,34,1.0
2020-05-29,Baraga,1,0
2020-05-29,Barry,62,2.0
2020-05-29,Bay,302,22.0
2020-05-29,Benzie,4,0
2020-05-29,Berrien,613,49.0
2020-05-29,Branch,111,2.0
2020-05-29,Calhoun,361,22.0
2020-05-29,Cass,80,3.0
2020-05-29,Charlevoix,15,1.0
2020-05-29,Cheboygan,21,1.0
2020-05-29,Chippewa,2,0
2020-05-29,Clare,18,2.0
2020-05-29,Clinton,139,10.0
2020-05-29,Crawford,58,5.0
2020-05-29,Delta,17,2.0
2020-05-29,Detroit City,10929,1356.0
2020-05-29,Dickinson,5,2.0
2020-05-29,Eaton,185,6.0
2020-05-29,Emmet,21,2.0
2020-05-29,Genesee,1998,250.0
2020-05-29,Gladwin,18,1.0
2020-05-29,Gogebic,5,1.0
2020-05-29,Grand Traverse,25,5.0
2020-05-29,Gratiot,74,8.0
2020-05-29,Hillsdale,169,24.0
2020-05-29,Houghton,5,0
2020-05-29,Huron,44,1.0
2020-05-29,Ingham,734,25.0
2020-05-29,Ionia,147,4.0
2020-05-29,Iosco,94,9.0
2020-05-29,Isabella,76,7.0
2020-05-29,Jackson,510,28.0
2020-05-29,Kalamazoo,833,54.0
2020-05-29,Kalkaska,19,2.0
2020-05-29,Kent,3596,80.0
2020-05-29,Lake,7,0
2020-05-29,Lapeer,188,30.0
2020-05-29,Leelanau,11,0
2020-05-29,Lenawee,151,4.0
2020-05-29,Livingston,395,26.0
2020-05-29,Luce,3,0
2020-05-29,Mackinac,8,0
2020-05-29,Macomb,6616,793.0
2020-05-29,Manistee,11,0
2020-05-29,Marquette,54,10.0
2020-05-29,Mason,32,0
2020-05-29,Mecosta,21,2.0
2020-05-29,Menominee,8,0
2020-05-29,Midland,81,8.0
2020-05-29,Missaukee,16,1.0
2020-05-29,Monroe,469,19.0
2020-05-29,Montcalm,65,1.0
2020-05-29,Montmorency,5,0
2020-05-29,Muskegon,631,36.0
2020-05-29,Newaygo,103,0
2020-05-29,Oakland,8311,975.0
2020-05-29,Oceana,85,2.0
2020-05-29,Ogemaw,21,1.0
2020-05-29,Osceola,11,0
2020-05-29,Oscoda,5,1.0
2020-05-29,Otsego,100,10.0
2020-05-29,Ottawa,759,33.0
2020-05-29,Presque Isle,11,0
2020-05-29,Roscommon,21,0
2020-05-29,Saginaw,1018,108.0
2020-05-29,Sanilac,41,5.0
2020-05-29,Schoolcraft,4,0
2020-05-29,Shiawassee,239,26.0
2020-05-29,St Clair,448,39.0
2020-05-29,St Joseph,112,2.0
2020-05-29,Tuscola,189,23.0
2020-05-29,Van Buren,136,6.0
2020-05-29,Washtenaw,1318,100.0
2020-05-29,Wayne,9298,1069.0
2020-05-29,Wexford,11,3.0
2020-05-29,MDOC*,3749,66.0
2020-05-29,FCI**,142,4.0
2020-05-29,Unknown,24,0
2020-05-29,Out of State,32,0
2020-05-29,Grand Total,56621,5406.0
