dates,county,cases,deaths
2020-04-30,Alcona,0,1
2020-04-30,Allegan,4,0
2020-04-30,Alpena,6,1
2020-04-30,Antrim,0,0
2020-04-30,Arenac,6,0
2020-04-30,Barry,1,0
2020-04-30,Bay,1,0
2020-04-30,Benzie,0,0
2020-04-30,Berrien,6,0
2020-04-30,Branch,7,0
2020-04-30,Calhoun,9,2
2020-04-30,Cass,2,0
2020-04-30,Charlevoix,0,0
2020-04-30,Cheboygan,2,0
2020-04-30,Chippewa,0,0
2020-04-30,Clare,0,0
2020-04-30,Clinton,1,0
2020-04-30,Crawford,0,0
2020-04-30,Delta,0,0
2020-04-30,Detroit,100,27
2020-04-30,Dickinson,0,0
2020-04-30,Eaton,7,0
2020-04-30,Emmet,0,0
2020-04-30,Genesee,17,8
2020-04-30,Gladwin,-1,0
2020-04-30,Gogebic,0,0
2020-04-30,Grand Traverse,0,0
2020-04-30,Gratiot,0,0
2020-04-30,Hillsdale,4,0
2020-04-30,Houghton,0,0
2020-04-30,Huron,1,0
2020-04-30,Ingham,24,1
2020-04-30,Ionia,16,0
2020-04-30,Iosco,5,0
2020-04-30,Isabella,1,0
2020-04-30,Jackson,13,3
2020-04-30,Kalamazoo,16,1
2020-04-30,Kalkaska,0,0
2020-04-30,Kent,84,0
2020-04-30,Lake,0,0
2020-04-30,Lapeer,3,-1
2020-04-30,Leelanau,-1,0
2020-04-30,Lenawee,1,1
2020-04-30,Livingston,2,1
2020-04-30,Luce,0,0
2020-04-30,Mackinac,0,0
2020-04-30,Macomb,83,6
2020-04-30,Manistee,0,0
2020-04-30,Marquette,1,0
2020-04-30,Mason,3,0
2020-04-30,Mecosta,0,0
2020-04-30,Menominee,0,0
2020-04-30,Midland,2,0
2020-04-30,Missaukee,0,0
2020-04-30,Monroe,3,0
2020-04-30,Montcalm,2,0
2020-04-30,Montmorency,0,0
2020-04-30,Muskegon,14,1
2020-04-30,Newaygo,0,0
2020-04-30,Oakland,108,28
2020-04-30,Oceana,0,0
2020-04-30,Ogemaw,1,0
2020-04-30,Osceola,0,0
2020-04-30,Oscoda,1,0
2020-04-30,Otsego,2,0
2020-04-30,Ottawa,12,0
2020-04-30,Presque Isle,-1,0
2020-04-30,Roscommon,1,0
2020-04-30,Saginaw,31,3
2020-04-30,Sanilac,1,0
2020-04-30,Schoolcraft,0,0
2020-04-30,Shiawassee,7,2
2020-04-30,St. Clair,15,0
2020-04-30,St. Joseph,2,0
2020-04-30,Tuscola,7,1
2020-04-30,Van Buren,3,0
2020-04-30,Washtenaw,26,2
2020-04-30,Wayne,135,28
2020-04-30,Wexford,-1,0
2020-04-30,MDOC,189,1
2020-04-30,FCI,2,1
2020-04-30,Unknown,-10,-2
2020-04-30,Non-MI,-7,1
2020-04-30,Totals,41379,3789
