2020-03-27,County,Cases,Deaths
2020-03-27,Allegan,1,0
2020-03-27,Barry,1,0
2020-03-27,Bay,4,0
2020-03-27,Berrien,18,0
2020-03-27,Calhoun,9,0
2020-03-27,Cass,1,0
2020-03-27,Charlevoix,4,0
2020-03-27,Clare,1,0
2020-03-27,Clinton,8,0
2020-03-27,Crawford,1,0
2020-03-27,Detroit City,1075,23
2020-03-27,Dickinson,1,0
2020-03-27,Eaton,8,0
2020-03-27,Emmet,3,0
2020-03-27,Genesee,91,4
2020-03-27,Gladwin,2,0
2020-03-27,Gogebic,1,1
2020-03-27,Grand Traverse,3,0
2020-03-27,Gratiot,1,0
2020-03-27,Hillsdale,6,0
2020-03-27,Huron,1,0
2020-03-27,Ingham,26,1
2020-03-27,Ionia,2,0
2020-03-27,Iosco,1,0
2020-03-27,Isabella,4,0
2020-03-27,Jackson,16,0
2020-03-27,Kalamazoo,11,0
2020-03-27,Kalkaska,4,0
2020-03-27,Kent,45,1
2020-03-27,Lapeer,4,0
2020-03-27,Leelanau,1,0
2020-03-27,Lenawee,8,0
2020-03-27,Livingston,31,1
2020-03-27,Macomb,404,14
2020-03-27,Manistee,1,0
2020-03-27,Marquette,1,0
2020-03-27,Mecosta,1,1
2020-03-27,Midland,8,0
2020-03-27,Missaukee,1,0
2020-03-27,Monroe,28,0
2020-03-27,Montcalm,3,0
2020-03-27,Muskegon,6,2
2020-03-27,Newaygo,1,0
2020-03-27,Oakland,824,26
2020-03-27,Oceana,1,0
2020-03-27,Ogemaw,1,0
2020-03-27,Otsego,7,0
2020-03-27,Ottawa,21,0
2020-03-27,Roscommon,1,0
2020-03-27,Saginaw,14,0
2020-03-27,Sanilac,2,0
2020-03-27,Shiawassee,2,0
2020-03-27,St. Clair,15,0
2020-03-27,Tuscola,2,1
2020-03-27,Van Buren,3,0
2020-03-27,Washtenaw,150,3
2020-03-27,Wayne,735,14
2020-03-27,Wexford,1,0
2020-03-27,Other,23,0
2020-03-27,Out of State,8,0
2020-03-27,Total,3657,92
