dates,county,cases,deaths
2020-05-02,Alcona,1,0
2020-05-02,Allegan,4,0
2020-05-02,Alpena,0,0
2020-05-02,Antrim,0,0
2020-05-02,Arenac,3,0
2020-05-02,Baraga,0,0
2020-05-02,Barry,3,0
2020-05-02,Bay,8,0
2020-05-02,Benzie,1,0
2020-05-02,Berrien,31,3
2020-05-02,Branch,2,0
2020-05-02,Calhoun,4,0
2020-05-02,Cass,3,0
2020-05-02,Charlevoix,0,0
2020-05-02,Cheboygan,0,0
2020-05-02,Chippewa,0,0
2020-05-02,Clare,0,0
2020-05-02,Clinton,0,1
2020-05-02,Crawford,4,0
2020-05-02,Delta,0,0
2020-05-02,Detroit,118,45
2020-05-02,Dickinson,0,0
2020-05-02,Eaton,3,0
2020-05-02,Emmet,0,0
2020-05-02,Genesee,20,4
2020-05-02,Gladwin,-2,0
2020-05-02,Gogebic,0,0
2020-05-02,Grand Traverse,0,0
2020-05-02,Gratiot,2,0
2020-05-02,Hillsdale,5,1
2020-05-02,Houghton,0,0
2020-05-02,Huron,2,1
2020-05-02,Ingham,14,1
2020-05-02,Ionia,7,0
2020-05-02,Iosco,1,0
2020-05-02,Isabella,1,0
2020-05-02,Jackson,-17,2
2020-05-02,Kalamazoo,37,0
2020-05-02,Kalkaska,0,0
2020-05-02,Kent,97,0
2020-05-02,Lake,0,0
2020-05-02,Lapeer,0,1
2020-05-02,Leelanau,0,0
2020-05-02,Lenawee,7,0
2020-05-02,Livingston,9,0
2020-05-02,Luce,0,0
2020-05-02,Mackinac,0,0
2020-05-02,Macomb,43,11
2020-05-02,Manistee,0,0
2020-05-02,Marquette,1,0
2020-05-02,Mason,2,0
2020-05-02,Mecosta,0,0
2020-05-02,Menominee,0,0
2020-05-02,Midland,2,0
2020-05-02,Missaukee,0,0
2020-05-02,Monroe,7,0
2020-05-02,Montcalm,5,0
2020-05-02,Montmorency,0,0
2020-05-02,Muskegon,13,0
2020-05-02,Newaygo,2,0
2020-05-02,Oakland,52,40
2020-05-02,Oceana,3,0
2020-05-02,Ogemaw,1,0
2020-05-02,Osceola,0,0
2020-05-02,Oscoda,0,0
2020-05-02,Otsego,1,0
2020-05-02,Ottawa,7,1
2020-05-02,Presque Isle,0,0
2020-05-02,Roscommon,1,0
2020-05-02,Saginaw,16,3
2020-05-02,Sanilac,0,0
2020-05-02,Schoolcraft,0,0
2020-05-02,Shiawassee,1,0
2020-05-02,St. Clair,5,0
2020-05-02,St. Joseph,5,0
2020-05-02,Tuscola,7,0
2020-05-02,Van Buren,5,0
2020-05-02,Washtenaw,10,4
2020-05-02,Wayne,18,37
2020-05-02,Wexford,0,0
2020-05-02,MDOC,265,0
2020-05-02,FCI,3,0
2020-05-02,Unknown,0,-1
2020-05-02,Non-MI,8,0
2020-05-02,Totals,43207,4020
