dates,county,cases,deaths
2020-04-14,Allegan,0,0
2020-04-14,Alpena,1,0
2020-04-14,Antrim,0,0
2020-04-14,Arenac,0,0
2020-04-14,Barry,3,1
2020-04-14,Bay,1,0
2020-04-14,Berrien,6,1
2020-04-14,Branch,0,0
2020-04-14,Calhoun,7,1
2020-04-14,Cass,2,0
2020-04-14,Charlevoix,0,0
2020-04-14,Cheboygan,0,0
2020-04-14,Clare,0,0
2020-04-14,Clinton,5,0
2020-04-14,Crawford,3,0
2020-04-14,Delta,0,0
2020-04-14,Detroit,223,32
2020-04-14,Dickinson,0,0
2020-04-14,Eaton,2,0
2020-04-14,Emmet,0,0
2020-04-14,Genesee,42,9
2020-04-14,Gladwin,1,0
2020-04-14,Gogebic,0,0
2020-04-14,Grand Traverse,0,0
2020-04-14,Gratiot,0,0
2020-04-14,Hillsdale,2,2
2020-04-14,Houghton,1,0
2020-04-14,Huron,0,0
2020-04-14,Ingham,9,0
2020-04-14,Ionia,2,0
2020-04-14,Iosco,0,0
2020-04-14,Isabella,1,0
2020-04-14,Jackson,11,1
2020-04-14,Kalamazoo,3,1
2020-04-14,Kalkaska,0,0
2020-04-14,Kent,14,1
2020-04-14,Lake,0,0
2020-04-14,Lapeer,11,3
2020-04-14,Leelanau,0,0
2020-04-14,Lenawee,3,0
2020-04-14,Livingston,13,1
2020-04-14,Luce,0,0
2020-04-14,Mackinac,0,0
2020-04-14,Macomb,202,53
2020-04-14,Manistee,0,0
2020-04-14,Marquette,2,1
2020-04-14,Mason,1,0
2020-04-14,Mecosta,0,0
2020-04-14,Menominee,0,0
2020-04-14,Midland,0,0
2020-04-14,Missaukee,0,0
2020-04-14,Monroe,6,1
2020-04-14,Montcalm,1,0
2020-04-14,Montmorency,0,0
2020-04-14,Muskegon,17,1
2020-04-14,Newaygo,1,0
2020-04-14,Oakland,291,17
2020-04-14,Oceana,0,0
2020-04-14,Ogemaw,0,0
2020-04-14,Osceola,0,0
2020-04-14,Oscoda,0,0
2020-04-14,Otsego,0,0
2020-04-14,Ottawa,-2,0
2020-04-14,Presque Isle,0,0
2020-04-14,Roscommon,0,0
2020-04-14,Saginaw,9,4
2020-04-14,Sanilac,0,0
2020-04-14,Schoolcraft,0,0
2020-04-14,Shiawassee,9,0
2020-04-14,St. Clair,5,0
2020-04-14,St. Joseph,1,0
2020-04-14,Tuscola,0,2
2020-04-14,Van Buren,0,1
2020-04-14,Washtenaw,36,3
2020-04-14,Wayne,338,28
2020-04-14,Wexford,0,0
2020-04-14,MDOC,59,1
2020-04-14,FCI,2,0
2020-04-14,Unknown,13,0
2020-04-14,Non-MI,9,1
2020-04-14,Totals,27001,1768
