dates,county,cases,deaths
2020-05-22,Alcona,0,0
2020-05-22,Allegan,2,1
2020-05-22,Alpena,1,0
2020-05-22,Antrim,0,0
2020-05-22,Arenac,0,0
2020-05-22,Baraga,0,0
2020-05-22,Barry,0,1
2020-05-22,Bay,9,0
2020-05-22,Benzie,0,0
2020-05-22,Berrien,7,3
2020-05-22,Branch,1,0
2020-05-22,Calhoun,7,1
2020-05-22,Cass,5,0
2020-05-22,Charlevoix,0,0
2020-05-22,Cheboygan,0,0
2020-05-22,Chippewa,0,0
2020-05-22,Clare,1,0
2020-05-22,Clinton,-1,0
2020-05-22,Crawford,0,0
2020-05-22,Delta,0,0
2020-05-22,Detroit,29,4
2020-05-22,Dickinson,0,0
2020-05-22,Eaton,3,0
2020-05-22,Emmet,0,0
2020-05-22,Genesee,3,0
2020-05-22,Gladwin,0,0
2020-05-22,Gogebic,0,0
2020-05-22,Grand Traverse,0,0
2020-05-22,Gratiot,6,1
2020-05-22,Hillsdale,0,0
2020-05-22,Houghton,0,0
2020-05-22,Huron,0,0
2020-05-22,Ingham,8,0
2020-05-22,Ionia,6,0
2020-05-22,Iosco,3,0
2020-05-22,Isabella,2,0
2020-05-22,Jackson,5,0
2020-05-22,Kalamazoo,16,2
2020-05-22,Kalkaska,0,0
2020-05-22,Kent,86,3
2020-05-22,Lake,2,0
2020-05-22,Lapeer,1,0
2020-05-22,Leelanau,0,0
2020-05-22,Lenawee,2,0
2020-05-22,Livingston,1,0
2020-05-22,Luce,1,0
2020-05-22,Mackinac,0,0
2020-05-22,Macomb,25,4
2020-05-22,Manistee,0,0
2020-05-22,Marquette,0,0
2020-05-22,Mason,2,0
2020-05-22,Mecosta,0,0
2020-05-22,Menominee,0,0
2020-05-22,Midland,3,0
2020-05-22,Missaukee,0,0
2020-05-22,Monroe,13,1
2020-05-22,Montcalm,1,0
2020-05-22,Montmorency,0,0
2020-05-22,Muskegon,9,0
2020-05-22,Newaygo,4,0
2020-05-22,Oakland,6,-1
2020-05-22,Oceana,4,0
2020-05-22,Ogemaw,0,0
2020-05-22,Osceola,0,0
2020-05-22,Oscoda,0,0
2020-05-22,Otsego,1,0
2020-05-22,Ottawa,25,0
2020-05-22,Presque Isle,0,0
2020-05-22,Roscommon,0,0
2020-05-22,Saginaw,5,1
2020-05-22,Sanilac,0,0
2020-05-22,Schoolcraft,0,0
2020-05-22,Shiawassee,-2,0
2020-05-22,St. Clair,4,0
2020-05-22,St. Joseph,4,0
2020-05-22,Tuscola,-1,1
2020-05-22,Van Buren,3,0
2020-05-22,Washtenaw,10,1
2020-05-22,Wayne,35,6
2020-05-22,Wexford,0,0
2020-05-22,MDOC,18,0
2020-05-22,FCI,0,0
2020-05-22,Unknown,22,0
2020-05-22,Non-MI,6,0
2020-05-22,Grand Total,53913,5158
