Alcona,4,0,2020-04-20
Allegan,42,0,2020-04-20
Alpena,15,1.0,2020-04-20
Antrim,9,0,2020-04-20
Arenac,12,1.0,2020-04-20
Barry,26,1.0,2020-04-20
Bay,85,2.0,2020-04-20
Benzie,4,0,2020-04-20
Berrien,164,8.0,2020-04-20
Branch,40,2.0,2020-04-20
Calhoun,148,5.0,2020-04-20
Cass,22,1.0,2020-04-20
Charlevoix,12,1.0,2020-04-20
Cheboygan,14,1.0,2020-04-20
Chippewa,2,0,2020-04-20
Clare,9,1.0,2020-04-20
Clinton,104,7.0,2020-04-20
Crawford,29,2.0,2020-04-20
Delta,13,1.0,2020-04-20
Detroit City,7736,641.0,2020-04-20
Dickinson,3,2.0,2020-04-20
Eaton,90,5.0,2020-04-20
Emmet,21,2.0,2020-04-20
Genesee,1256,123.0,2020-04-20
Gladwin,9,1.0,2020-04-20
Gogebic,4,1.0,2020-04-20
Grand Traverse,19,4.0,2020-04-20
Gratiot,8,1.0,2020-04-20
Hillsdale,90,11.0,2020-04-20
Houghton,2,0,2020-04-20
Huron,10,1.0,2020-04-20
Ingham,314,6.0,2020-04-20
Ionia,23,2.0,2020-04-20
Iosco,13,2.0,2020-04-20
Isabella,52,7.0,2020-04-20
Jackson,260,10.0,2020-04-20
Kalamazoo,185,9.0,2020-04-20
Kalkaska,17,2.0,2020-04-20
Kent,550,24.0,2020-04-20
Lake,2,0,2020-04-20
Lapeer,145,20.0,2020-04-20
Leelanau,7,0,2020-04-20
Lenawee,65,0,2020-04-20
Livingston,288,11.0,2020-04-20
Luce,1,0,2020-04-20
Mackinac,4,0,2020-04-20
Macomb,4425,403.0,2020-04-20
Manistee,11,0,2020-04-20
Marquette,32,6.0,2020-04-20
Mason,4,0,2020-04-20
Mecosta,13,1.0,2020-04-20
Menominee,1,0,2020-04-20
Midland,47,3.0,2020-04-20
Missaukee,5,1.0,2020-04-20
Monroe,236,10.0,2020-04-20
Montcalm,26,1.0,2020-04-20
Montmorency,4,0,2020-04-20
Muskegon,149,7.0,2020-04-20
Newaygo,7,0,2020-04-20
Oakland,6178,479.0,2020-04-20
Oceana,3,1.0,2020-04-20
Ogemaw,6,0,2020-04-20
Osceola,7,0,2020-04-20
Oscoda,4,1.0,2020-04-20
Otsego,72,5.0,2020-04-20
Ottawa,119,7.0,2020-04-20
Presque Isle,2,0,2020-04-20
Roscommon,11,0,2020-04-20
Saginaw,419,29.0,2020-04-20
Sanilac,32,3.0,2020-04-20
Schoolcraft,3,0,2020-04-20
Shiawassee,109,2.0,2020-04-20
St Clair,252,11.0,2020-04-20
St Joseph,25,1.0,2020-04-20
Tuscola,63,12.0,2020-04-20
Van Buren,33,2.0,2020-04-20
Washtenaw,878,31.0,2020-04-20
Wayne,6176,507.0,2020-04-20
Wexford,7,1.0,2020-04-20
MDOC*,561,19.0,2020-04-20
FCI**,55,0,2020-04-20
Unknown,28,4.0,2020-04-20
Out of State,69,2.0,2020-04-20
Totals,32000,2468.0,2020-04-20
