2020-06-01,County,Confirmed Cases,Reported Deaths
2020-06-01,Alcona,17,1.0
2020-06-01,Allegan,220,6.0
2020-06-01,Alpena,95,9.0
2020-06-01,Antrim,12,0
2020-06-01,Arenac,34,1.0
2020-06-01,Baraga,1,0
2020-06-01,Barry,63,2.0
2020-06-01,Bay,312,24.0
2020-06-01,Benzie,4,0
2020-06-01,Berrien,629,52.0
2020-06-01,Branch,123,2.0
2020-06-01,Calhoun,372,22.0
2020-06-01,Cass,82,3.0
2020-06-01,Charlevoix,15,1.0
2020-06-01,Cheboygan,21,1.0
2020-06-01,Chippewa,2,0
2020-06-01,Clare,19,2.0
2020-06-01,Clinton,140,11.0
2020-06-01,Crawford,58,5.0
2020-06-01,Delta,17,2.0
2020-06-01,Detroit City,11058,1375.0
2020-06-01,Dickinson,5,2.0
2020-06-01,Eaton,190,6.0
2020-06-01,Emmet,21,2.0
2020-06-01,Genesee,2015,252.0
2020-06-01,Gladwin,18,1.0
2020-06-01,Gogebic,5,1.0
2020-06-01,Grand Traverse,27,5.0
2020-06-01,Gratiot,74,11.0
2020-06-01,Hillsdale,169,24.0
2020-06-01,Houghton,6,0
2020-06-01,Huron,48,1.0
2020-06-01,Ingham,740,26.0
2020-06-01,Ionia,151,4.0
2020-06-01,Iosco,95,9.0
2020-06-01,Isabella,77,7.0
2020-06-01,Jackson,448,28.0
2020-06-01,Kalamazoo,844,57.0
2020-06-01,Kalkaska,19,2.0
2020-06-01,Kent,3748,89.0
2020-06-01,Lake,6,0
2020-06-01,Lapeer,190,30.0
2020-06-01,Leelanau,11,0
2020-06-01,Lenawee,154,4.0
2020-06-01,Livingston,397,26.0
2020-06-01,Luce,3,0
2020-06-01,Mackinac,8,0
2020-06-01,Macomb,6707,814.0
2020-06-01,Manistee,11,0
2020-06-01,Marquette,56,12.0
2020-06-01,Mason,32,0
2020-06-01,Mecosta,21,2.0
2020-06-01,Menominee,8,0
2020-06-01,Midland,82,8.0
2020-06-01,Missaukee,16,1.0
2020-06-01,Monroe,473,21.0
2020-06-01,Montcalm,66,1.0
2020-06-01,Montmorency,5,0
2020-06-01,Muskegon,645,36.0
2020-06-01,Newaygo,107,0
2020-06-01,Oakland,8407,992.0
2020-06-01,Oceana,87,2.0
2020-06-01,Ogemaw,22,1.0
2020-06-01,Osceola,11,0
2020-06-01,Oscoda,5,1.0
2020-06-01,Otsego,102,10.0
2020-06-01,Ottawa,781,34.0
2020-06-01,Presque Isle,11,0
2020-06-01,Roscommon,21,0
2020-06-01,Saginaw,1048,108.0
2020-06-01,Sanilac,41,5.0
2020-06-01,Schoolcraft,4,0
2020-06-01,Shiawassee,240,26.0
2020-06-01,St Clair,448,41.0
2020-06-01,St Joseph,119,2.0
2020-06-01,Tuscola,189,24.0
2020-06-01,Van Buren,144,6.0
2020-06-01,Washtenaw,1337,99.0
2020-06-01,Wayne,9388,1088.0
2020-06-01,Wexford,12,3.0
2020-06-01,MDOC*,3933,69.0
2020-06-01,FCI**,146,4.0
2020-06-01,Unknown,2,0
2020-06-01,Out of State,42,0
2020-06-01,Grand Total,57532,5516.0
