dates,county,cases,deaths
2020-05-04,Alcona,0,0
2020-05-04,Allegan,3,0
2020-05-04,Alpena,0,1
2020-05-04,Antrim,0,0
2020-05-04,Arenac,0,0
2020-05-04,Baraga,0,0
2020-05-04,Barry,0,0
2020-05-04,Bay,4,2
2020-05-04,Benzie,0,0
2020-05-04,Berrien,4,2
2020-05-04,Branch,-2,0
2020-05-04,Calhoun,7,1
2020-05-04,Cass,1,0
2020-05-04,Charlevoix,0,0
2020-05-04,Cheboygan,0,0
2020-05-04,Chippewa,0,0
2020-05-04,Clare,0,1
2020-05-04,Clinton,1,0
2020-05-04,Crawford,0,0
2020-05-04,Delta,0,0
2020-05-04,Detroit,8,12
2020-05-04,Dickinson,-1,0
2020-05-04,Eaton,1,0
2020-05-04,Emmet,0,0
2020-05-04,Genesee,13,3
2020-05-04,Gladwin,0,0
2020-05-04,Gogebic,1,0
2020-05-04,Grand Traverse,1,0
2020-05-04,Gratiot,-1,0
2020-05-04,Hillsdale,0,3
2020-05-04,Houghton,0,0
2020-05-04,Huron,2,0
2020-05-04,Ingham,0,0
2020-05-04,Ionia,0,0
2020-05-04,Iosco,0,0
2020-05-04,Isabella,0,0
2020-05-04,Jackson,2,2
2020-05-04,Kalamazoo,24,4
2020-05-04,Kalkaska,0,0
2020-05-04,Kent,68,0
2020-05-04,Lake,0,0
2020-05-04,Lapeer,0,1
2020-05-04,Leelanau,0,0
2020-05-04,Lenawee,3,0
2020-05-04,Livingston,-5,1
2020-05-04,Luce,0,0
2020-05-04,Mackinac,0,0
2020-05-04,Macomb,-20,15
2020-05-04,Manistee,0,0
2020-05-04,Marquette,0,0
2020-05-04,Mason,0,0
2020-05-04,Mecosta,0,1
2020-05-04,Menominee,1,0
2020-05-04,Midland,0,1
2020-05-04,Missaukee,0,0
2020-05-04,Monroe,9,1
2020-05-04,Montcalm,1,0
2020-05-04,Montmorency,0,0
2020-05-04,Muskegon,9,0
2020-05-04,Newaygo,2,0
2020-05-04,Oakland,-19,5
2020-05-04,Oceana,3,0
2020-05-04,Ogemaw,1,0
2020-05-04,Osceola,0,0
2020-05-04,Oscoda,0,0
2020-05-04,Otsego,0,0
2020-05-04,Ottawa,6,0
2020-05-04,Presque Isle,0,0
2020-05-04,Roscommon,1,0
2020-05-04,Saginaw,8,2
2020-05-04,Sanilac,-1,0
2020-05-04,Schoolcraft,0,0
2020-05-04,Shiawassee,1,0
2020-05-04,St. Clair,4,0
2020-05-04,St. Joseph,6,0
2020-05-04,Tuscola,0,0
2020-05-04,Van Buren,6,0
2020-05-04,Washtenaw,5,5
2020-05-04,Wayne,8,19
2020-05-04,Wexford,0,0
2020-05-04,MDOC,26,3
2020-05-04,FCI,0,0
2020-05-04,Unknown,1,1
2020-05-04,Non-MI,4,0
2020-05-04,Totals,43950,4135
